Ticker,Name,Sector,Industry,CMP,Final_Score,Tech_Score,Fund_Score,Sent_Score,Pre_Score,Forecast_Score,Intrinsic_Value,Margin_Safety,PE,ROE,Debt_to_Equity,PEG_Ratio,Market_Cap,Div_Yield,ROCE,OPM,FreeCashFlow,Sales,ProfitGrowth3Y,QtrSalesGrowth,QtrProfitGrowth,Reason,QualityScore,ROI_6to12_Score,Target,WinProbability,ExpectedReturn
MCX.NS,MCX.NS,Financial Services,Financial Data & Stock Exchanges,2417.0,0.4988734999999999,0.6,0.5714285714285714,0.59249,0.4988734999999999,0.0,274.25,-88.64,88.429146,0.25017,0.024,0,614651527168,0.25,37.139142432604544,62.487,675.1750144,44.5478675597218,57.46093699568819,28.9,28.6,Earnings Breakout + Momentum,7,10,1,0.12608881215888762,15-21%
CUMMINSIND.NS,CUMMINSIND.NS,Industrials,Specialty Industrial Machinery,4029.2,0.4227025,0.4,0.5714285714285714,0.55135,0.4227025,0.0,731.05,-81.86,48.309353,0.31142,0.308,0,1116909993984,1.28,34.499695823524746,24.237,1274.8387328,19.04771355338566,28.903190758591336,26.4,38.5,Earnings Breakout + Momentum,7,10,1,0.11579556372180898,15-21%
BLS.NS,BLS.NS,Industrials,Specialty Business Services,306.55,0.401417,0.2,0.7142857142857143,0.54278,0.401417,0.0,130.38,-57.1,20.829334,0.31094,16.545,0,125112918016,0.33,32.71992850907368,25.827,387.7371136,37.16562381534765,65.91665794355718,48.8,26.5,Earnings Breakout + Momentum,7,10,1,0.11486536903095593,15-21%
BEL.NS,BEL.NS,Industrials,Aerospace & Defense,417.6,0.5526195,0.8,0.5714285714285714,0.48413,0.5526195,0.0,71.97,-82.76,53.46351,0.29009,0.273,0,3052198166528,0.57,35.58841067012985,27.204,97.7750016,15.29215580517147,30.4189858729913,25.8,17.299999999999997,Earnings Breakout + Momentum,7,10,1,0.11384608893545307,15-21%
UNIECOM.NS,UNIECOM.NS,Technology,Software - Application,113.67,0.415,0.4,0.5714285714285714,0.5,0.415,0.0,24.3,-78.67,67.821434,0.15158,5.913,0,12688596992,0.0,34.9645199212498,13.88,78.0035008,31.680940188208684,43.28567940302281,75.3,25.0,Earnings Breakout + Momentum,7,10,1,0.11357673684829246,15-21%
HEROMOTOCO.NS,HEROMOTOCO.NS,Consumer Cyclical,Auto Manufacturers,5676.5,0.5875225,0.6,0.7142857142857143,0.85015,0.5875225,0.0,2496.85,-55.93,21.461586,0.26332,3.395,0,1133462290432,2.29,30.43373139775354,13.535,3374.476288,12.00090985259854,23.634575841285653,16.6,23.1,Earnings Breakout + Momentum,7,10,1,0.11330998104819967,15-21%
EICHERMOT.NS,EICHERMOT.NS,Consumer Cyclical,Auto Manufacturers,7358.0,0.5349999999999999,0.6,0.7142857142857143,0.5,0.5349999999999999,0.0,1836.54,-75.08,39.5896,0.24874,2.018,0,2021585321984,0.95,27.767106185792677,21.264,3344.7524352,22.328597116146163,41.34476184285359,44.8,24.4,Earnings Breakout + Momentum,7,10,1,0.11056397147023307,15-21%
NETWEB.NS,NETWEB.NS,Technology,Computer Hardware,3187.6,0.56499,0.8,0.5714285714285714,0.5666,0.56499,0.0,234.44,-92.6,132.42159,0.2609,3.108,0,179377471488,0.08,29.484541124596504,13.839000000000002,136.6516224,66.63798720031618,72.11237278859433,21.0,21.7,Earnings Breakout + Momentum,7,10,1,0.10734107694729755,15-21%
PERSISTENT.NS,PERSISTENT.NS,Technology,Information Technology Services,6274.0,0.5225974999999999,0.6,0.5714285714285714,0.75065,0.5225974999999999,0.0,1050.06,-83.33,59.06619,0.26198998,5.651,0,980909883392,0.56,29.90057864573319,16.273001,1818.6725376,27.865958290495183,26.579099067954598,23.6,43.7,Earnings Breakout + Momentum,7,10,1,0.10693182805865332,15-21%
ICICIGI.NS,ICICIGI.NS,Financial Services,Insurance - Diversified,1857.7,0.3475662499999999,0.2,0.5,0.683775,0.3475662499999999,0.0,609.48,-67.23,34.05346,0.17802,0.0,0,926914248704,0.68,23.628511090998582,15.537999999999998,5269.97504,14.56650616547941,25.43239933408019,12.6,17.8,Earnings Breakout + Momentum,7,10,1,0.1057736716550926,15-21%
HEXT.NS,HEXT.NS,Technology,Information Technology Services,712.75,0.395,0.2,0.7142857142857143,0.5,0.395,0.0,229.67,-67.78,31.44464,0.24176,10.008,0,434130616320,3.23,29.825085403871643,14.758,731.1000064,18.60131008065185,16.250918614164924,11.1,21.6,Earnings Breakout + Momentum,7,10,1,0.10099387254917017,15-21%
TORNTPHARM.NS,TORNTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,4003.7,0.6101325,0.8,0.5714285714285714,0.86755,0.6101325,0.0,595.88,-85.15,63.43503,0.26832,33.4,0,1358147616768,0.8,27.543096871179397,26.62,987.3600512,10.36471320962673,34.978716503398545,14.3,30.5,Earnings Breakout + Momentum,7,10,1,0.10078573447448028,15-21%
RAJOOENG.NS,RAJOOENG.NS,Industrials,Specialty Industrial Machinery,64.98,0.465,0.4,0.7142857142857143,0.5,0.465,0.0,36.97,-43.02,20.089783,0.22431,5.21,0,11594240000,0.23,28.92125446812057,18.626,16.3111504,10.89652215175092,36.14714852815075,62.4,68.8,Earnings Breakout + Momentum,7,10,1,0.0999816335404392,15-21%
LALPATHLAB.NS,LALPATHLAB.NS,Healthcare,Diagnostics & Research,1410.2,0.345,0.2,0.5714285714285714,0.5,0.345,0.0,321.03,-77.2,43.986256,0.24223,6.441,0,235477598208,0.99,29.783197520153355,25.129998,356.4754944,5.6448594759506365,12.20914431383302,10.7,16.3,Earnings Breakout + Momentum,7,10,1,0.09928192820786919,15-21%
IKS.NS,IKS.NS,Healthcare,Health Information Services,1702.4,0.505555,0.6,0.5714285714285714,0.6370333333333333,0.505555,0.0,331.46,-80.56,46.802086,0.33706,34.186,0,285335060480,0.0,27.31882964492921,30.934,397.3628672,51.66405447001197,27.780215975940937,21.5,58.1,Earnings Breakout + Momentum,7,10,1,0.0976173929841902,15-21%
KRISHNADEF.NS,KRISHNADEF.NS,Industrials,Specialty Industrial Machinery,888.45,0.485,0.6,0.5714285714285714,0.5,0.485,0.0,232.62,-73.99,43.58918,0.20571,0.451,0,12575095808,0.11,21.65306193411681,27.563998,9.2365376,59.16763147049616,108.10202025676202,28.1,69.5,Earnings Breakout + Momentum,7,10,1,0.09718765678715274,15-21%
